"type","name","time_units","begin_time","frequency","count","units"
"signal_2d","CdP (Centre des Pressions)","s",0.000,60,1784,"mm"

"time","x","y"
6.867,5.287408611,-84.02366978
6.883,4.52,-84.60875
6.900,3.80253055,-84.95885438
6.917,2.900071545,-85.33902289
6.933,2.295891393,-85.66002049
6.950,1.188440311,-85.78252249
6.967,0.1527027027,-86.15208845
6.983,-1.038602941,-86.11749387
7.000,-2.250306373,-86.30098039
7.017,-3.480927518,-86.58937346
7.033,-4.758504098,-87.15703893
7.050,-6.026088957,-87.06719325
7.067,-7.397845886,-87.4888508
7.083,-8.509648406,-87.89261038
7.100,-9.921020867,-88.23154664
7.117,-11.61962526,-88.78215092
7.133,-13.40717213,-89.07086066
7.150,-14.8477417,-89.45621159
7.167,-16.84223749,-89.53674118
7.183,-18.21223404,-89.41055646
7.200,-19.89985234,-89.04273422
7.217,-21.47819008,-88.86983973
7.233,-22.84429303,-88.71657787
7.250,-24.21279713,-88.5463832
7.267,-26.05168476,-88.20284207
7.283,-27.12243235,-88.08058118
7.300,-28.84626025,-87.67109631
7.317,-30.47261029,-87.53345588
7.333,-31.28073745,-87.39692472
7.350,-32.20603818,-87.16376582
7.367,-33.4161093,-86.93442088
7.383,-34.86086868,-86.43324837
7.400,-36.087377,-86.56210025
7.417,-37.54630181,-86.20191321
7.433,-38.71959321,-85.6300695
7.450,-39.86581695,-85.19422604
7.467,-41.09106704,-85.11658979
7.483,-42.79146192,-84.38212531
7.500,-44.06930703,-84.2545278
7.517,-45.14759988,-83.76015593
7.533,-45.9501739,-83.63340835
7.550,-46.76489068,-83.06158051
7.567,-47.4606924,-82.65202206
7.583,-47.72962775,-82.19508747
7.600,-48.43400285,-81.69111949
7.617,-48.78851351,-81.21701474
7.633,-48.93015306,-80.65086735
7.650,-48.70194264,-80.005655
7.667,-48.99393352,-79.16451876
7.683,-49.04622258,-78.41956742
7.700,-48.90910758,-77.53554401
7.717,-48.83074214,-76.93078297
7.733,-48.95459402,-76.18014347
7.750,-48.37282454,-75.01836207
7.767,-48.41576485,-74.34416192
7.783,-48.2777874,-73.72697208
7.800,-47.59210928,-72.49626068
7.817,-47.01111963,-71.91964724
7.833,-47.14153491,-71.18825975
7.850,-46.6402755,-70.33277857
7.867,-46.95205437,-69.18247138
7.883,-46.33092699,-68.19281173
7.900,-46.46296163,-66.97753898
7.917,-46.8070082,-65.52494877
7.933,-46.84626904,-64.88486517
7.950,-47.31730336,-63.49306125
7.967,-46.96302211,-62.15
7.983,-47.45516504,-60.66497555
8.000,-47.94319943,-59.91258157
8.017,-48.11501225,-58.76415441
8.033,-48.84678659,-57.68316421
8.050,-49.4491303,-56.66107966
8.067,-50.03442875,-55.09791155
8.083,-50.38342235,-53.9558751
8.100,-50.46382389,-53.33057266
8.117,-51.52876383,-52.19537587
8.133,-51.78722302,-51.33165265
8.150,-51.81638638,-50.87085726
8.167,-52.4723174,-50.22576426
8.183,-52.57781096,-49.89708608
8.200,-52.51635408,-49.57490725
8.217,-53.06102095,-49.42589359
8.233,-53.13441358,-49.25265432
8.250,-52.76505752,-48.92797864
8.267,-52.87963965,-48.35317987
8.283,-52.686886,-47.92034896
8.300,-52.9678813,-47.23101169
8.317,-52.95654321,-46.60901235
8.333,-53.22383292,-45.69628378
8.350,-53.52796107,-44.31313525
8.367,-53.64487285,-43.39700574
8.383,-53.29197853,-41.5517638
8.400,-53.37930664,-40.22760651
8.417,-53.37933361,-38.30381235
8.433,-53.83322772,-36.96291905
8.450,-53.49648773,-34.92427914
8.467,-53.3758347,-33.19693261
8.483,-53.58314417,-31.45455521
8.500,-53.26350245,-29.65209697
8.517,-53.67442134,-28.07235252
8.533,-54.05633449,-26.40582241
8.550,-54.06507489,-25.44064936
8.567,-54.14660204,-23.97560204
8.583,-53.94204267,-23.30192425
8.600,-53.76770791,-22.58675601
8.617,-53.85206717,-21.95575235
8.633,-53.20378263,-21.41907626
8.650,-52.57561576,-20.92309113
8.667,-52.58360176,-20.65889926
8.683,-51.77104482,-20.38613897
8.700,-51.6919335,-20.26902709
8.717,-50.98432997,-20.28731474
8.733,-50.32552254,-20.65607582
8.750,-49.72150698,-20.64498872
8.767,-48.63581081,-20.90291769
8.783,-47.88270885,-21.1215602
8.800,-47.22256135,-21.39894172
8.817,-46.16809197,-21.5555254
8.833,-45.32998466,-21.9084816
8.850,-44.03794734,-22.44892741
8.867,-42.87950528,-22.69585026
8.883,-41.66673953,-23.38982818
8.900,-40.61295639,-23.60794625
