,radar_mean_value,radar_std_value,platform_mean_value,platform_std_value,mean_error (%),std_error (%)
centroid_frequency_Power_Spectrum_Density_AP,0.30026992618492776,0.0706059488621884,0.3153467137515741,0.022065202548783136,18.81920574863276,7.655956874071606
frequency_dispersion_Power_Spectrum_Density_ML,0.34078974376329224,0.11084541339214006,0.3979557955541416,0.10241501597828599,32.26032363879181,15.827694750434144
frequency_dispersion_Power_Spectrum_Density_AP,0.3597286297300908,0.20092473680357908,0.36206899725222,0.06325254775363942,50.57308958237759,40.953719181773934
energy_content_below_05_Power_Spectrum_Density_ML,48.481359143094934,16.071486052172705,54.07837119612629,18.531408139821718,9.845369841310985,4.966140729931632
energy_content_below_05_Power_Spectrum_Density_AP,46.563379474116935,21.399454660486324,62.96561482779269,27.960525664751273,24.677705206878947,18.64803900721583
energy_content_05_2_Power_Spectrum_Density_ML,0.6178852924973185,0.5388246425086406,1.4520617471831025,1.2941799778336738,77.91048522256166,21.848734377697696
energy_content_05_2_Power_Spectrum_Density_AP,0.3638509677005946,0.15824913627635204,0.8845836793187508,0.5774937603999979,54.69438121235521,13.838590027844818
energy_content_above_2_Power_Spectrum_Density_ML,0.028275059575262555,0.048161377627974705,0.023156241254428226,0.02633145888500897,265.99219766825723,397.8246987085266
energy_content_above_2_Power_Spectrum_Density_AP,0.0577617491692282,0.11007845462597474,0.05012204308623452,0.0471545188464346,209.49158162855707,235.12644443623736
frequency_quotient_Power_Spectrum_Density_ML,0.00046183336018616874,0.000744785892605874,0.0005494107962210249,0.0007663092755291757,283.45723001254,442.91288740432765
frequency_quotient_Power_Spectrum_Density_AP,0.0016984351152811634,0.003289254280820005,0.0008347078778387501,0.0008496125311042066,365.67469613005716,550.1646565477
short_time_diffusion_Diffusion_ML,11.36512624308849,3.7880151627638647,15.369123228946314,3.716033195106167,27.284176817664626,7.181718246738043
long_time_diffusion_Diffusion_ML,189.73361581333285,125.2623891555045,826.5732887253275,784.2722777319112,57.233311055642844,29.841618316164066
critical_time_Diffusion_ML,1.8364142437544395,0.09686617542704128,1.783100243461925,0.2695720343261665,9.841120956657432,11.110181897590875
critical_displacement_Diffusion_ML,36.52080099504581,11.594628999808998,49.99941060620441,22.768030877355177,26.361588059435004,10.727013496797623
short_time_scaling_Diffusion_ML,0.9651712748960675,0.01519385890733852,0.9713557540866045,0.01642463417648245,1.964420565721905,1.381384772872988
long_time_scaling_Diffusion_ML,-1.1272822225208325,0.6550829208984512,-1.7199084326441032,0.9238580530641489,30.160520298650376,20.05071770939088
short_time_diffusion_Diffusion_AP,12.047809762994659,3.1431687612167716,20.80043550910646,4.515799335390751,42.07196875865317,6.453341220250918
long_time_diffusion_Diffusion_AP,385.4819697389943,481.2000923881163,11394.21648380359,19364.861245894506,89.17421809223495,8.691112590565623
critical_time_Diffusion_AP,1.9534630342205475,0.14442040594031608,1.9104424963520694,0.14568454898172115,7.940289187267899,8.26393489586559
critical_displacement_Diffusion_AP,41.75176503264397,16.220539261475125,74.70544565707712,27.76411283078393,43.837571982180854,7.15178793856026
short_time_scaling_Diffusion_AP,0.9187015136396308,0.10489378215987565,0.9686163073150176,0.01628765441295206,6.466066752379962,9.865415580453131
long_time_scaling_Diffusion_AP,-1.344705707536603,0.4637774627749185,-2.839342132601189,0.8354298275525387,53.0367111485106,2.7403216833586788
